STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/02/1987,,,,0.2,2.7,12,28,9,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/02/1987,,,,0.03,1,13,14,1,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/02/1987,,,,0,0,13,7,-18,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/02/1987,,,,0.01,0.2,13,7,-15,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/02/1987,,,,0,0,13,12,-12,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/02/1987,,,,0,0,13,21,-7,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/02/1987,,,,0,0,13,25,-6,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/02/1987,,,,0,0,12,29,-3,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/02/1987,,,,0,0,11,28,1,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/02/1987,,,,0,0,11,36,5,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/02/1987,,,,0.08,0.9,10,43,10,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/02/1987,,,,0.06,0.6,10,32,23,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/02/1987,,,,0,0,10,32,-1,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/02/1987,,,,0,0,9,31,0,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/02/1987,,,,0,0,8,32,5,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/02/1987,,,,0,0,8,41,9,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/03/1987,,,,0.35,0,8,40,31,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/03/1987,,,,0.11,0,6,42,36,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/03/1987,,,,0.05,0.5,6,36,21,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/03/1987,,,,0.08,1.5,,34,5,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/03/1987,,,,0.01,0.3,6,29,14,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/03/1987,,,,0,0,5,33,13,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/03/1987,,,,0,0,4,53,16,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/03/1987,,,,0,0,2,62,30,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/03/1987,,,,0,0,0,65,29,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/03/1987,,,,0,0,0,29,4,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/03/1987,,,,0,0,0,20,2,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/03/1987,,,,0,0,0,35,11,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/03/1987,,,,0,0,0,43,25,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/03/1987,,,,0,0,0,38,13,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/03/1987,,,,0,0,0,40,16,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/03/1987,,,,0,0,0,41,13,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/03/1987,,,,0,0,0,37,24,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/03/1987,,,,0,0,0,40,18,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/03/1987,,,,0,0,0,45,18,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/03/1987,,,,0,0,0,46,20,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/03/1987,,,,0,0,0,41,27,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/03/1987,,,,0,0,0,41,33,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/03/1987,,,,0,0,0,54,26,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/03/1987,,,,0,0,0,60,28,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/03/1987,,,,0,0,0,66,35,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/03/1987,,,,0.44,0,0,65,42,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/03/1987,,,,0,0,0,54,38,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/03/1987,,,,0.02,0,0,60,38,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/03/1987,,,,0,0,0,62,35,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/03/1987,,,,0,0,0,71,44,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",31/03/1987,,,,0.07,0,0,58,34,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/04/1987,,,,0.73,1.5,0,35,20,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/04/1987,,,,0.01,0,0,37,27,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/04/1987,,,,0.09,0,0,43,29,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/04/1987,,,,0.75,0,0,40,31,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/04/1987,,,,0.5,0,0,56,33,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/04/1987,,,,0.03,0,0,54,35,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/04/1987,,,,0.45,0,0,49,41,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/04/1987,,,,0.04,0,0,47,34,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/04/1987,,,,0,0,0,44,36,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/04/1987,,,,0,0,0,57,31,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/04/1987,,,,0,0,0,67,34,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/04/1987,,,,0.08,0,0,72,37,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/04/1987,,,,1.05,0,0,55,41,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/04/1987,,,,0,0,0,60,35,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/04/1987,,,,0,0,0,67,41,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/04/1987,,,,0,0,0,64,45,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/04/1987,,,,0,0,0,58,47,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/04/1987,,,,0.05,0,0,60,49,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/04/1987,,,,0,0,0,68,46,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/04/1987,,,,0,0,0,76,45,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/04/1987,,,,0,0,0,80,52,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/04/1987,,,,0,0,0,81,42,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/04/1987,,,,0,0,0,59,43,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/04/1987,,,,0.04,0,0,65,47,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/04/1987,,,,0.42,0,0,48,29,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/04/1987,,,,0,0,0,58,32,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/04/1987,,,,0,0,0,63,30,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/04/1987,,,,0,0,0,65,35,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/04/1987,,,,0.12,0,0,49,37,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/04/1987,,,,0.02,0,0,64,34,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/05/1987,,,,0,0,0,46,26,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/05/1987,,,,0,0,0,58,29,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/05/1987,,,,0,0,0,64,35,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/05/1987,,,,0,0,0,49,26,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/05/1987,,,,0,0,0,59,37,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/05/1987,,,,0.04,0,0,56,42,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/05/1987,,,,0,0,0,69,40,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/05/1987,,,,0,0,0,61,28,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/05/1987,,,,0,0,0,62,32,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/05/1987,,,,0,0,0,79,51,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/05/1987,,,,0,0,0,77,45,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/05/1987,,,,0.1,0,0,85,53,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/05/1987,,,,0.01,0,0,60,30,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/05/1987,,,,0,0,0,71,42,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/05/1987,,,,0.08,0,0,78,51,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/05/1987,,,,0,0,0,58,31,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/05/1987,,,,0,0,0,70,45,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/05/1987,,,,0,0,0,85,46,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/05/1987,,,,0.3,0,0,62,47,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/05/1987,,,,0.11,0,0,55,44,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/05/1987,,,,0,0,0,55,44,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/05/1987,,,,0,0,0,66,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/05/1987,,,,0.72,0,0,79,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/05/1987,,,,0.53,0,0,80,49,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/05/1987,,,,0,0,0,60,50,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/05/1987,,,,0,0,0,67,55,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/05/1987,,,,0.03,0,0,68,57,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/05/1987,,,,0,0,0,73,58,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/05/1987,,,,0.13,0,0,85,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/05/1987,,,,0,0,0,87,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",31/05/1987,,,,0,0,0,90,60,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/06/1987,,,,0,0,0,80,58,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/06/1987,,,,0.61,0,0,85,63,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/06/1987,,,,0,0,0,81,65,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/06/1987,,,,0.19,0,0,71,63,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/06/1987,,,,0.01,0,0,73,46,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/06/1987,,,,0,0,0,73,44,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/06/1987,,,,0.04,0,0,65,48,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/06/1987,,,,0.3,0,0,71,49,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/06/1987,,,,0.08,0,0,76,58,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/06/1987,,,,0.02,0,0,63,46,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/06/1987,,,,0,0,0,66,39,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/06/1987,,,,0.14,0,0,73,51,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/06/1987,,,,0.08,0,0,78,58,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/06/1987,,,,0.02,0,0,78,55,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/06/1987,,,,0,0,0,85,63,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/06/1987,,,,0,0,0,81,50,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/06/1987,,,,0,0,0,85,47,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/06/1987,,,,0,0,0,74,44,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/06/1987,,,,0,0,0,82,53,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/06/1987,,,,0,0,0,89,58,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/06/1987,,,,0.1,0,0,79,60,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/06/1987,,,,0.14,0,0,80,62,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/06/1987,,,,0.85,0,0,81,64,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/06/1987,,,,0.04,0,0,78,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/06/1987,,,,0,0,0,84,57,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/06/1987,,,,0,0,0,83,63,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/06/1987,,,,0.2,0,0,69,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/06/1987,,,,0.04,0,0,79,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/06/1987,,,,0.02,0,0,72,55,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/06/1987,,,,0.33,0,0,84,66,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/07/1987,,,,0.14,0,0,75,60,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/07/1987,,,,0.02,0,0,70,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/07/1987,,,,1.34,0,0,69,62,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/07/1987,,,,0,0,0,80,62,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/07/1987,,,,0,0,0,78,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/07/1987,,,,0,0,0,80,60,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/07/1987,,,,0.09,0,0,81,64,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/07/1987,,,,1.05,0,0,82,66,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/07/1987,,,,0,0,0,87,68,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/07/1987,,,,0.03,0,0,88,65,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/07/1987,,,,0,0,0,86,66,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/07/1987,,,,0.16,0,0,89,61,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/07/1987,,,,0,0,0,90,68,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/07/1987,,,,0,0,0,89,70,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/07/1987,,,,0.77,0,0,81,55,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/07/1987,,,,0.01,0,0,69,45,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/07/1987,,,,0,0,0,73,47,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/07/1987,,,,0,0,0,80,55,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/07/1987,,,,0,0,0,86,62,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/07/1987,,,,0.28,0,0,81,67,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/07/1987,,,,0.05,0,0,87,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/07/1987,,,,0,0,0,86,62,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/07/1987,,,,0,0,0,87,60,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/07/1987,,,,0,0,0,90,65,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/07/1987,,,,0,0,0,90,68,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/07/1987,,,,0.36,0,0,86,65,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/07/1987,,,,0.17,0,0,81,53,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/07/1987,,,,0,0,0,78,53,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/07/1987,,,,0,0,0,74,46,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/07/1987,,,,0.06,0,0,78,56,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",31/07/1987,,,,0.43,0,0,80,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/08/1987,,,,0,0,0,75,47,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/08/1987,,,,0,0,0,79,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/08/1987,,,,0.25,0,0,75,63,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/08/1987,,,,0.05,0,0,82,58,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/08/1987,,,,0,0,0,87,62,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/08/1987,,,,0,0,0,65,60,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/08/1987,,,,0,0,0,78,61,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/08/1987,,,,0.02,0,0,80,65,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/08/1987,,,,0,0,0,78,58,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/08/1987,,,,0.76,0,0,66,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/08/1987,,,,0.01,0,0,73,53,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/08/1987,,,,0,0,0,71,43,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/08/1987,,,,0,0,0,78,55,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/08/1987,,,,0,0,0,82,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/08/1987,,,,0,0,0,84,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/08/1987,,,,0,0,0,88,65,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/08/1987,,,,0,0,0,91,70,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/08/1987,,,,0,0,0,92,67,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/08/1987,,,,0,0,0,81,57,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/08/1987,,,,0.58,0,0,81,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/08/1987,,,,0,0,0,76,48,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/08/1987,,,,0,0,0,80,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/08/1987,,,,0.03,0,0,80,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/08/1987,,,,0,0,0,67,43,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/08/1987,,,,0,0,0,68,42,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/08/1987,,,,0,0,0,72,46,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/08/1987,,,,0.78,0,0,72,53,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/08/1987,,,,0.37,0,0,60,57,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/08/1987,,,,0.18,0,0,62,57,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/08/1987,,,,0.02,0,0,65,45,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",31/08/1987,,,,0,0,0,75,50,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/09/1987,,,,0,0,0,76,53,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/09/1987,,,,0.03,0,0,64,47,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/09/1987,,,,0.18,0,0,61,42,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/09/1987,,,,0,0,0,65,38,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/09/1987,,,,0,0,0,72,41,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/09/1987,,,,0.28,0,0,71,56,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/09/1987,,,,0.06,0,0,68,59,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/09/1987,,,,0.32,0,0,72,64,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/09/1987,,,,0.36,0,0,72,64,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/09/1987,,,,0.01,0,0,75,36,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/09/1987,,,,0,0,0,73,50,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/09/1987,,,,0.28,0,0,74,57,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/09/1987,,,,0.46,0,0,67,64,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/09/1987,,,,0.01,0,0,75,53,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/09/1987,,,,0,0,0,70,44,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/09/1987,,,,0.07,0,0,70,43,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/09/1987,,,,0.42,0,0,74,47,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/09/1987,,,,0.34,0,0,73,62,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/09/1987,,,,0.21,0,0,70,53,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/09/1987,,,,0.16,0,0,56,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/09/1987,,,,0.01,0,0,60,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/09/1987,,,,0.01,0,0,72,48,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/09/1987,,,,0,0,0,66,49,
